Tau,Router,Seed,P99,P95,SLA (%),Total Regret
80,Round Robin,1,117.9191666666352,113.01187222816102,37.84,79813.66143590497
80,Round Robin,2,111.74322631776379,107.35502875468205,24.175,53074.26785377051
80,Round Robin,3,115.28143690206191,110.77049298055063,30.654999999999998,65521.498014938305
80,Round Robin,4,121.67145656827321,116.72867095875343,19.245,43625.641066820644
80,Round Robin,5,117.10351255061339,112.9906114555422,45.07,96125.22799040508
80,Round Robin,6,113.70546236753664,110.03385002128552,38.45,84367.8004456207
80,Round Robin,7,118.43623946733327,114.28301730444643,45.585,97689.64897646004
80,Round Robin,8,122.80872330607711,118.2692124263276,48.455,104419.9535666143
80,Round Robin,9,113.4736781796595,108.37585893259269,17.945,42273.50233399941
80,Round Robin,10,120.5002099760764,116.39224736248542,36.705,78333.87505903258
80,Round Robin,11,100.27904259276652,95.61959355553248,1.16,6211.610203551476
80,Round Robin,12,112.20587751134346,98.19566484779563,4.324999999999999,13912.85254978119
80,Round Robin,13,119.67074975370998,113.41187207678557,25.505,57140.58648513287
80,Round Robin,14,111.01030434942648,106.32741079162001,17.165,38518.70315421314
80,Round Robin,15,103.48791102562414,98.58444711938348,3.2649999999999997,11848.617146756376
80,Least Connections,1,123.70983483583483,119.33891188402512,30.81,68314.16291635361
80,Least Connections,2,68.41114127379913,64.77878041044855,0.0,1655.01159439044
80,Least Connections,3,100.49304581773264,97.08503066620975,1.3050000000000002,11906.166291027987
80,Least Connections,4,75.3940048263646,71.85761086227271,0.0,1969.2236113070344
80,Least Connections,5,107.61933002552068,104.05262343068222,20.645,48802.32778434335
80,Least Connections,6,72.71758137337217,69.44276860430303,0.0,4079.288884305817
80,Least Connections,7,120.97716553941086,117.62931254149915,84.74000000000001,176137.57366292094
80,Least Connections,8,59.961592664603934,56.59140447853137,0.0,1623.5163963930195
80,Least Connections,9,101.46292708211158,97.93626983254755,1.96,8208.042922272325
80,Least Connections,10,89.67107532225106,86.2263887281864,0.0,5959.14061580922
80,Least Connections,11,110.35679426924162,106.92466603798687,33.300000000000004,73720.11520273224
80,Least Connections,12,103.13903049929773,97.81392527071907,2.595,12468.899636378
80,Least Connections,13,108.34847933211796,104.91229999970246,25.735000000000003,59313.93179014985
80,Least Connections,14,122.21501989680178,118.44563762318627,97.195,204496.75230686646
80,Least Connections,15,77.98146022427855,74.31823067352107,0.0,3595.3763748028596
80,Pure DQN,1,96.03429256440505,89.72828385979251,0.22499999999999998,3613.7679123124435
80,Pure DQN,2,116.30194523136485,101.40253358411722,5.505,13864.496854394698
80,Pure DQN,3,98.11762389037179,91.00232427091977,0.5700000000000001,4310.025233735871
80,Pure DQN,4,108.2321582590848,98.26888785383959,3.925,10761.534613078456
80,Pure DQN,5,116.62291625471309,104.65615985095697,6.455,15625.853320401176
80,Pure DQN,6,109.97384845578497,104.40131699459344,12.23,25215.716426864263
80,Pure DQN,7,115.19132288728643,100.31024148967833,5.1049999999999995,13544.446537770404
80,Pure DQN,8,97.91617290706124,88.65932657648949,0.61,4260.286047207379
80,Pure DQN,9,113.22109890865839,91.60869905135436,3.565,10608.936613607288
80,Pure DQN,10,106.39841709183995,95.36795243120174,2.93,8896.132249232622
80,Pure DQN,11,112.99914816014605,101.42629722433841,5.609999999999999,13854.642110399953
80,Pure DQN,12,108.97201586592426,99.1090824545212,4.545,11809.33978906619
80,Pure DQN,13,101.63492205995487,80.21267928320466,1.335,5389.70613048252
80,Pure DQN,14,105.57321786614938,94.42897413974877,2.715,8046.532915835404
80,Pure DQN,15,102.95856364494348,91.84024368308077,1.91,6606.548107366826
80,Eps-Greedy DQN,1,100.31090978152885,93.91080551383646,1.085,4930.761223445615
80,Eps-Greedy DQN,2,104.89796045640276,91.33583424159838,1.725,6305.300264507126
80,Eps-Greedy DQN,3,105.9115512573874,83.71526970952837,2.52,7149.512611526263
80,Eps-Greedy DQN,4,109.23632273493818,93.12936146175706,2.335,6903.2772639707355
80,Eps-Greedy DQN,5,110.66596097615567,97.63803313621175,4.31,11145.357916396955
80,Eps-Greedy DQN,6,114.51986614863974,94.94478395812415,3.27,9464.188259970095
80,Eps-Greedy DQN,7,95.47811597334392,75.29713304980119,0.705,3711.8054940637135
80,Eps-Greedy DQN,8,111.67967272723158,89.07975390258828,2.875,8214.689711026098
80,Eps-Greedy DQN,9,99.20006427522563,74.1336594410151,0.9199999999999999,4664.66099100029
80,Eps-Greedy DQN,10,96.12576530212966,85.66846962897938,0.9199999999999999,4153.4564704184195
80,Eps-Greedy DQN,11,115.62971216582268,91.10279369743692,3.195,8768.461663194683
80,Eps-Greedy DQN,12,97.63374102213179,86.87903725786565,0.5499999999999999,3534.934027220982
80,Eps-Greedy DQN,13,102.21699777334035,88.13680506455886,1.635,5621.688013963572
80,Eps-Greedy DQN,14,108.66513326712621,87.36138994910425,1.7500000000000002,5945.577433216378
80,Eps-Greedy DQN,15,109.96525193516739,94.91402485628224,3.0949999999999998,9075.555856043651
80,Heuristic Only,1,113.65638943513854,103.37545371752091,12.98,33670.47174250608
80,Heuristic Only,2,116.64179114006028,113.23757071336857,79.045,166796.09857219114
80,Heuristic Only,3,109.8145452853627,86.75428624023237,2.76,9179.59108091623
80,Heuristic Only,4,111.77188588222522,107.81894803995493,38.615,85717.60919157676
80,Heuristic Only,5,120.6623685906655,117.23943191336473,67.77,143148.78895286872
80,Heuristic Only,6,98.47545922223787,80.61489407537286,0.8,4374.935637789561
80,Heuristic Only,7,126.18855930991083,122.7927567294792,89.445,191027.11236169797
80,Heuristic Only,8,109.3967173721208,98.37199250229784,4.405,11404.129867116042
80,Heuristic Only,9,104.02333096061388,99.57489372684967,4.245,15165.801039383407
80,Heuristic Only,10,124.10170132035661,120.59163104025879,69.265,148403.103923047
80,Heuristic Only,11,110.3296594908627,105.78457015484048,23.665,52387.18911360979
80,Heuristic Only,12,100.23376384967354,95.94891702124333,1.095,5517.811353905038
80,Heuristic Only,13,94.8657504108063,91.32903416485706,0.055,7239.81853117242
80,Heuristic Only,14,122.42312528143113,118.7933949086502,89.31,189430.9399175144
80,Heuristic Only,15,97.89539128954765,76.6148772771432,0.6649999999999999,3381.663538476341
80,RL Only,1,102.67162262127633,85.43303266176362,1.4200000000000002,5402.462215791247
80,RL Only,2,97.17697174660884,87.63859493669416,0.46499999999999997,3813.601156680014
80,RL Only,3,101.60578700474024,92.59915052060178,1.335,5175.472769634406
80,RL Only,4,94.45000996523146,84.08825932527165,0.35500000000000004,3356.7123617725306
80,RL Only,5,99.96028327845335,92.41512408907059,0.9950000000000001,4812.398490511336
80,RL Only,6,97.72940186352598,85.30165576896684,0.775,4054.434678211183
80,RL Only,7,97.3577056483453,90.1041874173674,0.395,3797.3122273338927
80,RL Only,8,106.53803889645513,92.61576830723729,1.7999999999999998,6357.2944717324035
80,RL Only,9,106.76794639502094,97.56830812465255,3.215,8554.811761211608
80,RL Only,10,104.99982066235357,93.66448536055508,2.645,7935.915595339478
80,RL Only,11,100.86159222035326,94.29757238568772,1.3,6287.681196987729
80,RL Only,12,81.17212833672507,75.3588837229938,0.0,2548.4259297750045
80,RL Only,13,99.38488776750421,90.12003930042954,0.905,4490.792582832006
80,RL Only,14,103.07532281203977,90.78767206478376,1.49,5492.570681667912
80,RL Only,15,96.40769474597984,89.94081424314251,0.5,4048.988115547609
80,Static Hybrid,1,98.7930485001894,93.27732619260854,0.625,4021.566658081857
80,Static Hybrid,2,106.3188822850771,95.52100963896496,3.1,9439.681505899074
80,Static Hybrid,3,102.25672720536586,93.69416590477258,1.63,6798.625485739145
80,Static Hybrid,4,94.11425197192293,78.51690864573176,0.51,3583.865754387907
80,Static Hybrid,5,103.08455718934539,97.21955155302427,2.645,8022.097690431127
80,Static Hybrid,6,106.48366051121786,94.20005803393877,2.835,8028.432705211032
80,Static Hybrid,7,113.1564233824672,99.04472107594515,4.3999999999999995,11564.322664068866
80,Static Hybrid,8,102.65452780944378,92.57539662686915,1.7950000000000002,6070.525045397647
80,Static Hybrid,9,108.67216461420807,92.46727259447482,3.1399999999999997,9864.99352586296
80,Static Hybrid,10,105.78039407428199,96.97815507234746,3.345,8931.67282315302
80,Static Hybrid,11,113.9394373391941,102.81095876306598,6.05,14935.551081198746
80,Static Hybrid,12,109.05969629682409,98.98948204381645,4.565,11337.54862196047
80,Static Hybrid,13,109.24304640127981,100.7244359114302,5.79,14095.080454982211
80,Static Hybrid,14,109.99467358099213,92.69704389361044,2.9000000000000004,8776.168009597372
80,Static Hybrid,15,109.39892683356663,99.10495511970564,4.715,12059.217292125097
80,CGAR (Adaptive),1,94.09312059969835,77.62398795069737,0.3,3699.559250310772
80,CGAR (Adaptive),2,102.20675662845058,87.11550290626732,1.41,5375.539625485374
80,CGAR (Adaptive),3,111.02745061223206,83.54337781139411,2.155,7087.496112832742
80,CGAR (Adaptive),4,107.20344281575215,85.31991257772694,2.02,7645.127231934832
80,CGAR (Adaptive),5,109.83988869171118,86.7334533660185,2.25,6992.456766259567
80,CGAR (Adaptive),6,91.62709242615885,72.16302522098563,0.21,2879.4436592384327
80,CGAR (Adaptive),7,96.04371757629963,79.32792191507684,0.40499999999999997,3030.2072333826195
80,CGAR (Adaptive),8,113.39847034287688,98.64304549525734,4.305,11137.49101922188
80,CGAR (Adaptive),9,114.4350110297117,95.80723386400328,4.365,11222.429014776642
80,CGAR (Adaptive),10,91.83533001908536,86.24468571978849,0.0,2408.1859622669294
80,CGAR (Adaptive),11,101.69623015191907,93.68613995452296,1.54,5191.181456630832
80,CGAR (Adaptive),12,105.5396014090454,92.92154566941684,2.3,7513.9640658250355
80,CGAR (Adaptive),13,102.08769075115423,85.26831753919255,1.195,5136.360527310299
80,CGAR (Adaptive),14,96.56050500062943,82.08704942148327,0.615,3160.2210960772095
80,CGAR (Adaptive),15,102.55661488952033,74.62481347810551,1.4449999999999998,5202.382145397153
